"abertura";"tipo";"solicitacao";"descricao";"tipo_solicitacao";"origem";"situacao"
"2015-10-13";"Ocupação Irregular de Área Púlica";"A Sra. denuncia que há um muro construído de forma irregular, fora do alinhamento ocupando a calçada. O referido muro fica na rua General Marinho da Silva, 83 - Fragata";"";"Denuncia";"Presencial";"Fechado"
"2015-10-13";"Estabelecimento sem alvará";"Cidadão reivindica referente no endereço: Rua Manoel Lucas de Oliveira, n°1435, Bairro: Fragata, existir um estabelecimento, no qual o funcionário não possui nenhum tipo de alvará e, salienta cidadão que o responsável vende bebidas alcoólicas para menores de 18 anos.";"Fragata                                                                                             ";"Reclamação";"Telefone";"Fechado"
"2015-10-13";"Poda e Retirada de Árvore";"A solicitante pede que seja feita a poda da árvore enorme que fica em frente a sua residência, tendo inclusive alguns galhos já querendo entrar dentro da mesma.
O endereço é na Av. Domingos de Almeida, 296 - Areal";"";"Solicitação de Serviço";"Presencial";"Fechado"
"2015-10-13";"Entulho na calçada/ Via pública";"Cidadã reivindica referente no endereço: Rua 15, n°120, Bairro; Dunas, a proprietária efetuar acumulo de roupas no patio e na calçada de sua residencia. ";"Fragata                                                                                             ";"Reclamação";"Presencial";"Fechado"
"2015-10-13";"Terreno baldio";"Cidadã reivindica referente atrás do endereço; Rua Visconde de Ouro Preto, n°208, Bairro: Areal, existir um terreno baldio com enorme acumulo de lixo.";"";"Reclamação";"Presencial";"Fechado"
"2015-10-14";"Entulho na calçada/ Via pública";"CIDADÃ REIVINDICA REFERENTE NO ENDEREÇO: RUA JOAQUIM AUGUSTO ASSUMPÇÃO, N°680, BAIRRO; LARANJAL, O PROPRIETÁRIO EFETUAR ACUMULO DE LIXO TANTO NO PATIO DA RESIDENCIA QUANTO NA CALÇADA DA MESMA.";"Fragata                                                                                             ";"Reclamação";"Telefone";"Fechado"
"2015-10-14";"Maus tratos a animais";"Cidadão, denuncia o abandono de um cachorro na rua Nilo Peçanha n° 212 quase esquina dom Joaquim cachorro com aparência preto porte grande, não aparenta estar vacinado morde os moradores e causa transtornos.  solicita a retirada do animal para o canil municipal.";"Fragata                                                                                             ";"Denuncia";"Presencial";"Fechado"
"2015-10-14";"Terreno baldio";"CIDADÃO REIVINDICA REFERENTE NO ENDEREÇO; AV ILDEFONSO SIMÕES LOPES, AO LADO DO °1066, BAIRRO: AREAL, EXISTIR UM TERRENO BALDIO COM ENORME ACUMULO E LIXO.";"";"Reclamação";"Telefone";"Fechado"
"2015-10-14";"Não cumprimento de itinerários";"CIDADÃ REIVINDICA REFERENTE OS ONIBUS DA EMPRESA CONQUISTADORA NÃO ESTAREM CUMPRINDO HORARIO, POIS A MESMA DIARIAMENTE FICA POR MAIS DE 40 MIN NA PARADA.";"";"Reclamação";"Telefone";"Fechado"
"2015-10-15";"Rua esburacada";"O declarante relata que por consequência das ruas esburacadas o ônibus tem problemas de locomoção ocorrendo atraso.  Localizado no endereço Rua Santa Helena, 121 - Sanga Funda.";"";"Reclamação";"Telefone";"Fechado"
"2015-10-15";"Ocupação Irregular de Área Púlica";"CIDADÃO REIVINDICA REFERENTE NO ENDEREÇO; ENTRE RUA 3 E RUA PAULO ZANOTA DA CRUZ, BAIRRO: FRAGATA / LOT. PAINEIRAS, ESTAR HAVENDO UMA OCUPAÇÃO DE ÁREA PÚBLICA POR POSSEIROS.";"";"Reclamação";"Telefone";"Fechado"
"2015-10-15";"Emissão de fumaça preta e gazes poluentes.";"CIDADÃ ALEGA QUE NO ENDEREÇO; RUA PASSEIO 2, N°627, BAIRRO: NAVEGANTES 3, A PROPRIETÁRIO DESPEJAR ÓLEO FREQUENTEMENTE NA VALETA EM FRENTE A RESIDENCIA, OCASIONANDO UM AMBIENTE DESAGRADÁVEL PARA A VIA VISTO ESSE ÓLEO NA MAIORIA DAS VEZES FICAR EXPOSTO AO SOL. ";"Fragata                                                                                             ";"Reclamação";"Telefone";"Fechado"
"2015-10-15";"Obra irregular";"CIDADÃ ALEGA QUE NO ENDEREÇO; RUA FELIX DA CUNHA, COM ESQUINA RUA GENERAL NETO, BAIRRO; CENTRO, EXISTIR UMA OBRA IRREGULAR, POIS A MESMA, NÃO FOI FEITA A COLOCAÇÃO DE CALÇADA IMPROVISADA JUNTO AO JUNTO AO TAPUME.";"Laranjal                                                                                            ";"Reclamação";"Telefone";"Fechado"
"2015-10-16";"Iluminação Pública Irregular";"Cidadão solicita reparo em lampadas
queimadas em poste de luz da
prefeitura na rua São luiz n° 490 o
mesmo reside na frente desse
numero. ";"Três Vendas                                                                                         ";"Solicitação de Serviço";"Presencial";"Fechado"
"2015-10-16";"Iluminação Pública Irregular";"Solicita reposição de lampada no endereço; Rua Afonso
Pena, 830 - Fragata.";"";"Solicitação de Serviço";"Telefone";"Fechado"
"2015-10-16";"Iluminação Pública Irregular";"Cidadã veio até a ouvidoria para
reclamar que toda a rua está sem
iluminação, se localiza no Bairro
Cruzeiro e fica na Rua é Osvaldo
Aranha. A moradora pede para a
prefeitura verificar com urgência,
devido a falta de segurança do local";"Cruzeiro                                                                                            ";"Solicitação de Serviço";"Telefone";"Fechado"
"2015-10-16";"Iluminação Pública Irregular";"Cidadão alega que no endereço; Av
Teodoro Miller, entre Rua Adalberto
Guerra Duval e Rua Bernardo Jose
de Souza, Bairro: Fragata, existem 6
postes com luminárias queimadas.";"";"Solicitação de Serviço";"Presencial";"Fechado"
"2015-10-16";"Iluminação Pública Irregular";"REPOSIÇÃO DE LAMPADA NO
ENDEREÇO: RUA EVARISTO DA
VEIGA, N°78, BAIRRO: FRAGATA.
OBS EXISTE UMA LUMINARIA EM
FRENTE ESTE PONTO QUE
TAMBÉM ESTA QUEIMADA.";"";"Solicitação de Serviço";"Presencial";"Fechado"
"2015-10-16";"Iluminação Pública Irregular";"Reposição de lâmpada no
endereço;Av Jose Maria da
Fontoura, n°148, Bairro: Laranjal.";"";"Solicitação de Serviço";"Telefone";"Fechado"
"2015-10-16";"Iluminação Pública Irregular";"Reposição de iluminação pública no endereço; Rua Dr. Rasgado, n°274 e n°370, Bairro: Fátima. Também no endereço; Rua São José, n°115, Bairro: Santa Terezinha.";"Nossa Senhora de Fátima                                                                             ";"Solicitação de Serviço";"Presencial";"Fechado"
"2015-10-16";"Iluminação Pública Irregular";"Falta de luz na rua Tiradentes 3374,
no centro da quadra, entre Marcílio
Dias e Saldanha Marinho.";"";"Solicitação de Serviço";"Telefone";"Fechado"
"2015-10-16";"Rua esburacada";"CIDADÃ ALEGA QUE NO ENDEREÇO; RUA FRANCISCO BROCHADO DA ROCHA, BAIRRO: AREAL, A VIA ENCONTRASSE EM ESTADOS PRECÁRIOS DE TRAFEGABILIDADE, VISTO O NUMERO EXCESSIVO DE BURACOS QUE A MESMA COMPORTA.";"";"Solicitação de Serviço";"Telefone";"Fechado"
"2015-10-16";"Iluminação Pública Irregular";"Solicita reposição de lâmpada na
Rua LUIZ Alves Pereira, 108 - Areal
";"";"Solicitação de Serviço";"Telefone";"Fechado"
"2015-10-16";"Iluminação Pública Irregular";"REPOSIÇÃO DE LAMPADA NO
ENDEREÇO; RUA TIRADENTES,
N°3355, BAIRRO; CENTRO.";"";"Solicitação de Serviço";"Presencial";"Fechado"
"2015-10-16";"Iluminação Pública Irregular";"Troca de lâmpadas no Laranjal -
Costa - 428 - Laranjal ( São
Conrado) ";"Laranjal                                                                                            ";"Solicitação de Serviço";"Telefone";"Fechado"
"2015-10-16";"Iluminação Pública Irregular";"Reposição de lâmpada no endereço;
Rua 6, BLocoº12, Bairro: Pestano.
Salienta que existem três lâmpadas
queimadas junto a este local.";"";"Solicitação de Serviço";"Telefone";"Fechado"
"2015-10-16";"Iluminação Pública Irregular";"TROCA DE LAMPADA NO
ENDEREÇO; RUA FRANCISCO
VIEIRA DA CUNHA, N°98, BAIRRO:
FÁTIMA. OBS SOLICITAÇÃO JÁ
FEITA ANTERIORMENTE.
";"Nossa Senhora de Fátima                                                                             ";"Solicitação de Serviço";"Telefone";"Fechado"
"2015-10-16";"Iluminação Pública Irregular";"Reposição de lâmpada no endereço;
Rua Alvaro Chaves, n°142, Bairro:
Porto.
";"";"Solicitação de Serviço";"Telefone";"Fechado"
"2015-10-16";"Iluminação Pública Irregular";"solicita reposição de lâmpada na rua
Av 25 de julho, 493 - Santa
Terezinha";"";"Solicitação de Serviço";"Telefone";"Fechado"
"2015-10-16";"Iluminação Pública Irregular";"REPOSIÇÃO DE ILUMINAÇÃO
PÚBLICA NO ENDEREÇO: AV
LEOPOLDO BROS, N°3935,
BAIRRO; PESTANO.";"";"Solicitação de Serviço";"Telefone";"Fechado"
"2015-10-16";"Iluminação Pública Irregular";"Solicita reposição de lâmpada na
rua Marcílio Dias, 1287 - Centro";"";"Solicitação de Serviço";"Telefone";"Fechado"
"2015-10-16";"Iluminação Pública Irregular";"e lampadas pararam de funcionar
após a troca. localiza-se Osvaldo
aranha no bairro Cruzeiro nos
numeros 166, 122, 160, 186, 220,
256, todos esses sem iluminação.";"Cruzeiro                                                                                            ";"Solicitação de Serviço";"Presencial";"Fechado"
"2015-10-16";"Iluminação Pública Irregular";"Reposição de lâmpada no endereço;
Rua Esteio, n°2039, Bairro: Laranjal.";"Centro                                                                                              ";"Solicitação de Serviço";"Telefone";"Fechado"
"2015-10-16";"Iluminação Pública Irregular";"REPOSIÇÃO DE LAMPADA NO
ENDEREÇO; AV REPUBLICA DO
ALIBANO COM ESQUINA RUA
EMÍLIO MASSOT, BAIRRO: TRÊS
VENDAS.";"";"Solicitação de Serviço";"Telefone";"Fechado"
"2015-10-16";"Iluminação Pública Irregular";"cidadã pede a colocação de
iluminação na rua comendador
Rafael Maza n° 466. A mesma
reclama de que já pediu a mais de 4
messes e diz que quando trocaram
em seguida voltou a queimar no
mesmo dia, assim pedindo um
pouco mais de atenção na quela
rede. E que já esta sem a
iluminação na frente da sua
residencia a mais de um ano. ";"Areal                                                                                               ";"Solicitação de Serviço";"Telefone";"Fechado"
"2015-10-16";"Iluminação Pública Irregular";"Reposição de lâmpada no endereço:
Rua 1,n°238, Residencial Nova
Tablada. Obs Solicitação já feita
anteriormente e nada foi feito no
local. Salienta que no local os
postes não possuem nem o braço
de sustentação para lâmpada.";"";"Solicitação de Serviço";"Telefone";"Fechado"
"2015-10-16";"Iluminação Pública Irregular";"A Senhora Marli comparece pela terceira vez para reclamar foram trocados os postes e as lampadas não funcionam há quase 30 dias.

 Av. Osvaldo Aranha 184-Bairro Cruzeiro do Sul atrás do Forum";"Cruzeiro                                                                                            ";"Reclamação";"Presencial";"Fechado"
"2015-10-16";"Iluminação Pública Irregular";"Solicita reposição de lâmpada na
rua Antonio dos Anjos, 1049,
esquina XV de novembro.";"Centro                                                                                              ";"Solicitação de Serviço";"Telefone";"Fechado"
"2015-10-16";"Estacionamento Irregular";"Solicita reposição na rua Travessa
5 Carlos Giacoboni,40 - Fragata";"";"Solicitação de Serviço";"Telefone";"Fechado"
"2015-10-16";"Iluminação Pública Irregular";"REPOSIÇÃO DE LÂMPADA NO
ENDEREÇO; RUA FELICIANO
MENDES DE MORAES, N°740,
BAIRRO: BOM JESUS.
";"";"Solicitação de Serviço";"Presencial";"Fechado"
"2015-10-16";"Iluminação Pública Irregular";"MANUTENÇÃO EM PONTO DE ILUMINAÇÃO NO ENDEREÇO; RUA PASSEIO 3, N°918, BAIRRO: NAVEGANTES 2. OBS ESSE PONTO FICA ACENDENDO E APAGANDO DURANTE TODO DIA E A NOITE.";"Navegantes II                                                                                       ";"Solicitação de Serviço";"Telefone";"Fechado"
"2015-10-16";"Vazamento de água potável";"CIDADÃ ALEGA QUE NO ENDEREÇO; RUA ANTONIO DOS ANJOS, ENTRE RUA GONÇALVES CHAVES E RUA PADRE ANCHIETA, EM FRENTE A ESCOLA ASSIS BRASIS, BAIRRO; CENTRO, EXISTIR UM VAZAMENTO DE ÁGUA POTÁVEL.";"";"Solicitação de Serviço";"Telefone";"Fechado"
"2015-10-16";"Iluminação Pública Irregular";" Reposição de lâmpada no endereço;
Av Joao Gomes Nogueira, n°926,
Bairro: Areal.";"";"Solicitação de Serviço";"Telefone";"Fechado"
"2015-10-16";"Iluminação Pública Irregular";"REPOSIÇÃO DE LAMPADA NO
ENDEREÇO; AV RIO GRANDE DO
SUL, N°1532, BAIRRO; LARANJAL.
OBS: NESSE LOCAL, APÓS ESSE
N°EXISTEM 16 PONTOS DE
ILUMINAÇÃO QUEIMADOS.";"";"Solicitação de Serviço";"Telefone";"Fechado"
"2015-10-17";"Lei de Acesso a Informação";"Solicito o Plano Municipal de AssistÃªncia Social 2014 - 2017 e a resoluÃ§Ã£o do conselho municipal de assistÃªncia social que o aprovou";"";"LAI";"Lai";"Fechado"
"2015-10-19";"Iluminação Pública Irregular";"Solicita reposição na Rua Travessa 7, nº 900 A Sanga Funda";"Sanga Funda                                                                                         ";"Solicitação de Serviço";"Presencial";"Fechado"
"2015-10-19";"Iluminação Pública Irregular";"REPOSIÇÃO DE LÂMPADA NO ENDEREÇO; RUA PADRE ANCHIETA, N°1576, BAIRRO; CENTRO.";"";"Solicitação de Serviço";"Telefone";"Fechado"
"2015-10-19";"Não cumprimento de itinerários";"[ANONIMO] CIDADÃ ALEGA QUE QUE A EMPRESA DE ONIBUS BURKlER NÃO ESTÁ CUMPRINDO OS TINERARIOS, POIS SALIENTA CIDADÃ QUE O VEICULO RESPONSÁVEL DESLOCAMENTO DAS 12H SIMPLESMENTE NÃO APARECEU, TENDO ENTÃO A CIDADÃ QUE FICARA ESPERA NA PARADA DO MESMO.";"";"Reclamação";"Presencial";"Fechado"
"2015-10-19";"Poluição Sonora";"CIDADÃ REIVINDICA REFERENTE NO ENDEREÇO; RUA CELSO BENITI, N°159, BAIRRO; HUMUARAMA, EXISTIR UMA SERRALHERIA NO QUAL NÃO RESPEITA O LIMITE SONORO DURANTE O DIA, POIS OS MESMOS TRABALHÃO COM MAQUINÁRIO PESADO PROPORCIONANDO UM BARULHO INSUPORTÁVEL PARA A COMUNIDADE.";"";"Reclamação";"Telefone";"Fechado"
"2015-10-19";"Terreno baldio";"CIDADÃO REIVINDICA REFERENTE NO ENDEREÇO; RUA JOSE FAUSTINE, AO LADO DO N°518, BAIRRO; LOT ESQUECH, EXISTIR UM TERRENO BALDIO COM ACUMULO DE LIXO.";"Areal                                                                                               ";"Reclamação";"Telefone";"Fechado"
"2015-10-19";"Poda e Retirada de Árvore";"PODA DE ARVORE NO ENDEREÇO: AV DOMINGOS DE ALMEIDA, N°578, BAIRRO; AREAL.";"Areal                                                                                               ";"Solicitação de Serviço";"Telefone";"Fechado"
"2015-10-19";"Esgoto a céu aberto";"Denuncia que o esgoto da vizinha que está a céu aberto depois que ela construiu um banheiro e aumentou a cozinha da casa dela Fica na Xv de novembro, 315 - Centro";"Fragata                                                                                             ";"Denuncia";"Presencial";"Fechado"
"2015-10-20";"Aterro sanitário irregular";"CIDADÃO ALEGA QUE NO ENDEREÇO; RUA IMPERADOR DOM PEDRO 1°, AO LADO DO N°2211, BAIRRO: FRAGATA, EXISTE UM TERRENO BALDIO NO QUAL ESTÁ SENDO DEPOSITADO TERRA CONTENDO RESIDO DE MATERIAL TÓXICO, DEVIDO A MESMA TER SIDO RETIRADA DE UM POÇO ONDE EXISTIA UM POSTO DE GASOLINA. SALIENTA CIDADÃO CIDADÃO QUE O CHEIRO DE OLÉO E GASOLINA ESTA INSUPORTAVEL";"";"Reclamação";"Telefone";"Fechado"
"2015-10-20";"Rua esburacada";"obrigado.
Aguardo rotorno.";"";"Reclamação";"Presencial";"Fechado"
"2015-10-20";"Entulho na calçada/ Via pública";"Em frente a residência existe acumulo de lixo e no sábado dia 17 de outubro foi colocado um cachorro morto no local e o cheiro está insuportável.

Rua Visconde da Graça, 441 - Simões Lopes";"";"Reclamação";"Presencial";"Fechado"
"2015-10-20";"Poda e Retirada de Árvore";"PODA DE ARVORE NO ENDEREÇO; RUA PRINCESA ISABEL, COM ESQUINA RUA BENTO MARTINS, BAIRRO: CENTRO.";"";"Solicitação de Serviço";"Telefone";"Fechado"
"2015-10-20";"Rua esburacada";"CIDADÃ ALEGA QUE NO ENDEREÇO; ANTIGA RUA MARIO MENEGHETT, BAIRRO: FÁTIMA, A VIA ENCONTRA-SE EM ESTADOS PRECÁRIOS, VISTO AO EXCESSIVO N° DE BURACOS QUE A MESMA COMPORTA. SALIENTA QUE A COLOCAÇÃO DE SAIBRO NO LOCAL SERIA O IDEAL.";"";"Solicitação de Serviço";"Telefone";"Fechado"
"2015-10-20";"Unidade Básica de Saúde";"CIDADÃ ALEGA QUE NO POSTO DE SAUDE PAM FRAGATA, ESTAR HAVENDO UM DESCASO COM A POPULAÇÃO, POIS DESDE AS 9H DA MANHÃ PESSOAS IDOSAS COM PROBLEMA DE HIPERTENSÃO ESTÃO ESPERANDO NA FILA COM SOL MUITO FORTE E NINGUÉM APARECE PARA ABRIR O POSTO. ";"";"Reclamação";"Telefone";"Fechado"
"2015-10-20";"Poda e Retirada de Árvore";"PODA DE UM EICALIPTO LOCALIZADO NO ENDEREÇO; AV 25 DE JULHO, N°1356, BAIRRO: SANTA TEREZINHA. SALIENTA QUE ESSA ARVORE ESTA PERIGANDO CAIR COM OS VENTOS DAS CHUVAS.";"";"Solicitação de Serviço";"Telefone";"Fechado"
"2015-10-21";"Estacionamento Irregular";"Comércio ilegal (Panificadora - loja de salgados), sem autorização da prefeitura. Rua Dr. Frederico Bastos, n 688. Trabalho irregular, sem nota fiscal.";"";"Reclamação";"Telefone";"Fechado"
"2015-10-21";"Mau atendimento em escolas";"cidadã reivindica referente na Escola de Educação Infantil ""Ursinhos Travessos""  estar havendo descaso com a integridade física e emocional das crianças, pois seu neto de 03 anos de idade é obrigado utilizar fralda descartável durante estadia na mesma pelo simples fato das funcionárias não quererem o educar, sendo que o mesmo não utilizava fralda ha mais de 02 anos. Salienta demandante que, seu neto esteve somente em um turno na escola e foi cobrada como se o mesmo estivesse em turno integral. ";"";"Reclamação";"Presencial";"Fechado"
"2015-10-21";"Iluminação Pública Irregular";"CIDADÃ ALEGA QUE NO ENDEREÇO; RUA MARQUES DE IMARICA, BAIRRO; AREAL, A VIA ENCONTRA-SE AS ESCURAS, VISTO A CEEE TER EFETUADO A TROCA DE POSTES E NÃO LIGAR A ILUMINAÇÃO.";"";"Solicitação de Serviço";"Telefone";"Fechado"
"2015-10-21";"Iluminação Pública Irregular";"TROCA DE LAMPADA NO ENDEREÇO;RUA LUIS ALVES PEREIRA, N°899, BAIRRO: AREAL.";"";"Solicitação de Serviço";"Telefone";"Fechado"
"2015-10-21";"Terreno baldio";"A rua Major Francisco Nunes de Souza, nº4618, tem um terreno vazio onde a população está depositando lixo no local. A terreno tem muito a proliferação de animais como ratos.";"";"Reclamação";"Telefone";"Fechado"
"2015-10-21";"Iluminação Pública Irregular";"Solicita reposição de 5 lâmpadas na rua Estrada da Costa, 852 - Areal e pede para a máquina passar novamente na rua pois passou mas deixou buracos.";"";"Solicitação de Serviço";"Presencial";"Fechado"
"2015-10-21";"Falta de rampa de acessibilidade";"O solicitante informa que no endereço Rua José de Alencar, 65 - Bairro Nossa Senhora de Fátima, há uma rampa de garagem sem recuamento fazendo com que a água da chuva fique parada. Pede fiscalização.";"";"Reclamação";"Telefone";"Fechado"
"2015-10-21";"Poda e Retirada de Árvore";"Solicita a pode de 3 árvores que estão por cair a qualquer hora e podem machucar pessoas na rua Lulier, 106 esquina Baronesa";"";"Solicitação de Serviço";"Telefone";"Fechado"
"2015-10-21";"Semáforo Danificado";"Cidadã reclama que a rua Felix da Cunha ( entre Voluntários e Cassiano) foi interrompida desde as 8:00 pela segunda vez, sem a presença de maquinas ou trabalhadores em atividade durante todo dia atrapalhando o transito. A partir do meio dia, da voluntários até a avenida bento Gonçalves, também foram interrompidas, também sem a presença de maquinas ou trabalhadores em atividade. Também gostaria de denunciar duas (2) coletoras totalmente danificadas nas ruas Felix da Cunha entre Voluntários e Cassiano, causando acumulo de lixo tanto na calçada quanto na via, todos os dias. ";"Areal                                                                                               ";"Denuncia";"Presencial";"Fechado"
"2015-10-21";"Poda e Retirada de Árvore";"PODA DE ARVORE NO ENDEREÇO; RUA JORNALISTA SALVADOR HITA PORRES, N°974,BAIRRO: FRAGATA.";"";"Solicitação de Serviço";"Telefone";"Fechado"
"2015-10-21";"Poda e Retirada de Árvore";"Cidadã pede poda de arvore que esta na sua calçada e ja esta pegando nos fios a CEEE foi chama e falou que esta nos fios de internet, fica na rua Trãs de Maio esquina Bento Martins n° 540 . ";"Centro                                                                                              ";"Solicitação de Serviço";"Telefone";"Fechado"
"2015-10-22";"Iluminação Pública Irregular";"TROCA DE LAMPADA NO ENDEREÇO: RUA EULÁLIA RODRIGUES VIEIRA, N°200, BAIRRO; FRAGATA.";"";"Solicitação de Serviço";"Telefone";"Fechado"
"2015-10-22";"Unidade Básica de Saúde";"Médica do Posto do Lindóia Noa Alves está  se negando a dar medicação para este senhor. Disse que só dará  mediante um laudo de um psiquiatra. O senhor diz que antes, até o mês passado ele recebia dessa mesma médica. Diz que sem medicação sente muita dor. ";"";"Denuncia";"Telefone";"Fechado"
"2015-10-22";"Ocupação Irregular de Área Púlica";"cidadã reivindica devido no endereço; Ao Final da Rua Peri Ribas, Bairro: Arco Iris, aos fundos da escola arco iris, existir um cidadão que ests efetuando uma construção em área pública. Salienta demandante que o mesmo constrói em cima do meio da rua.";"";"Reclamação";"Telefone";"Fechado"
"2015-10-22";"Ocupação Irregular de Área Púlica";"CIDADÃ ALEGA QUE NO ENDEREÇO; AO FINAL DA RUA VERANÓPOLIS, BAIRRO: LARANJAL, ESTAR HAVENDO UMA CONSTRUÇÃO EM ÁREA PUBLICA.";"Fragata                                                                                             ";"Reclamação";"Telefone";"Fechado"
"2015-10-22";"Ocupação Irregular de Área Púlica";"Moradora denuncia utilização da calçada por bar que fez construção irregular Na rua Eduardo Guimarães esquina Nicolau Vergueiro, a esquerda - Fragata. Fica no fundo do PAR Solar do Sul";"";"Denuncia";"Telefone";"Fechado"
"2015-10-22";"Lei de Acesso a Informação";"Eu, Daiane Peixoto Vargas, RG 8070701878, residente no endereÃ§o PraÃ§a Domingos Rodrigues nÂº10, Pelotas, de acordo com a Lei de Acesso Ã  InformaÃ§Ã£o, venho por meio deste solicitar, no prazo de 5 dias, a lista completa de Professores nos nÃ­veis de atuaÃ§Ã£o PII e PIII que atuam na Ã¡rea de Biologia na Escola Municipal Pelotense. Especificamente os que atualmente estÃ£o nestes dois nÃ­veis e que  estÃ£o no efetivo cargo de Professores de Ensino mÃ©dio da Escola Municipal Pelotense no conjunto de disciplinas de Biologia.
";"";"LAI";"Lai";"Fechado"
